"","SQH","SXRQ"
"176","CN201230609793.9","20150121"
"177","CN201230610008.1","20150121"
"178","CN201230609217.4","20150121"
"179","CN201230609325.1","20150121"
"180","CN201230609330.2","20150121"
"181","CN201230629338.5","20150204"
"182","CN201230627590.2","20150204"
"183","CN201230627596.X","20150204"
"184","CN201230627631.8","20150204"
"185","CN201230627641.1","20150204"
"186","CN201230630472.7","20150204"
"187","CN201230626687.1","20150204"
"188","CN201230628929.0","20150204"
"189","CN201230626617.6","20150204"
"190","CN201230626625.0","20150204"
"191","CN201230626677.8","20150204"
"192","CN201230625563.1","20150204"
"193","CN201230629712.1","20150204"
"194","CN201230629621.8","20150204"
"195","CN201230629366.7","20150204"
"196","CN201230644895.4","20150204"
"197","CN201230644992.3","20150204"
"198","CN201230645032.9","20150204"
"199","CN201230645199.5","20150204"
"200","CN201230644880.8","20150204"
"201","CN201230644968.X","20150204"
"202","CN201230644989.1","20150204"
"203","CN201230645016.X","20150204"
"204","CN201230645143.X","20150204"
"205","CN201230645163.7","20150204"
"206","CN201230554025.8","20141231"
"207","CN201230554236.1","20141231"
"208","CN201230554314.8","20141231"
"209","CN201230560579.9","20141231"
"210","CN201230592031.2","20150114"
"211","CN201230618765.3","20150204"
"212","CN201230618766.8","20150204"
"213","CN201230619101.9","20150204"
"214","CN201230619116.5","20150204"
"215","CN201230619156.X","20150204"
"216","CN201230619173.3","20150204"
"217","CN201230619193.0","20150204"
"218","CN201230619207.9","20150204"
"219","CN201230618979.0","20150204"
"220","CN201230619039.3","20150204"
"221","CN201230618692.8","20150204"
"222","CN201230618829.X","20150204"
"223","CN201230618899.5","20150204"
"224","CN201230618983.7","20150204"
"225","CN201230619117.X","20150204"
"226","CN201230618697.0","20150204"
"227","CN201230602948.6","20160120"
"228","CN201230602962.6","20150121"
"229","CN201230602985.7","20150121"
"230","CN201230603022.9","20150121"
"231","CN201230602889.2","20150121"
"232","CN201230602890.5","20150121"
"233","CN201230602891.X","20160120"
"234","CN201230608684.5","20150121"
"235","CN201230608695.3","20150121"
"236","CN201230608698.7","20150121"
"237","CN201230608705.3","20150121"
"238","CN201230608713.8","20150121"
"239","CN201230609183.9","20150121"
"240","CN201230602806.X","20150121"
"241","CN201230602856.8","20150121"
"242","CN201230602857.2","20150121"
"243","CN201230608683.0","20150121"
"244","CN201230608699.1","20150121"
"245","CN201230608723.1","20150121"
"246","CN201230608724.6","20150121"
"247","CN201230609184.3","20150121"
"248","CN201230602524.X","20150121"
"249","CN201230602612.X","20150121"
"250","CN201230602613.4","20150121"
"251","CN201230602614.9","20150121"
"252","CN201230602630.8","20150121"
"253","CN201230602631.2","20150121"
"254","CN201230602698.6","20150121"
"255","CN201230602699.0","20150121"
"256","CN201230602717.5","20150121"
"257","CN201230602718.X","20150121"
"258","CN201230602745.7","20150121"
"259","CN201230602746.1","20150121"
"260","CN201230602751.2","20150121"
"261","CN201230602626.1","20150121"
"262","CN201230602668.5","20150121"
"263","CN201230602670.2","20150121"
"264","CN201230602716.0","20150121"
"265","CN201230602750.8","20150121"
"266","CN201230602752.7","20150121"
"267","CN201230591870.2","20150114"
"268","CN201230589603.1","20150114"
"269","CN201230626152.4","20150204"
"270","CN201230626497.X","20150204"
"271","CN201230626498.4","20150204"
"272","CN201230626502.7","20150204"
"273","CN201230626512.0","20150204"
"274","CN201230566829.X","20141231"
"275","CN201230566905.7","20160113"
"276","CN201230567360.1","20141231"
"277","CN201230559524.6","20141231"
"278","CN201230567485.4","20141231"
"279","CN201230559992.3","20141231"
"280","CN201230559978.3","20141231"
"281","CN201230559673.2","20141231"
"282","CN201230601955.4","20150121"
"283","CN201230601815.7","20160120"
"284","CN201230614796.1","20150204"
"285","CN201230617938.X","20150204"
"286","CN201230617974.6","20150204"
"287","CN201230618196.2","20150204"
"288","CN201230618230.6","20150204"
"289","CN201230618256.0","20150204"
"290","CN201230618625.6","20150204"
"291","CN201230618633.0","20150204"
"292","CN201230617855.0","20150204"
"293","CN201230620263.4","20150204"
"294","CN201230620264.9","20150204"
"295","CN201230620265.3","20150204"
"296","CN201230620277.6","20150204"
"297","CN201230617878.1","20150204"
"298","CN201230617892.1","20150204"
"299","CN201230617952.X","20150204"
"300","CN201230614546.8","20150204"
"301","CN201230614547.2","20150204"
"302","CN201230617917.8","20150204"
"303","CN201230618016.0","20150204"
"304","CN201230554435.2","20141231"
"305","CN201230554430.X","20141231"
"306","CN201230554442.2","20141231"
"307","CN201230564591.7","20150107"
"308","CN201230556651.0","20141231"
"309","CN201230559406.5","20141231"
"310","CN201230567164.4","20141231"
"311","CN201230567219.1","20141231"
"312","CN201230567166.3","20141231"
"313","CN201230567165.9","20141231"
"314","CN201230559351.8","20141231"
"315","CN201230556940.0","20141231"
"316","CN201230557093.X","20141231"
"317","CN201230554365.0","20141231"
"318","CN201230581219.7","20150107"
"319","CN201230581220.X","20150107"
"320","CN201230581229.0","20150107"
"321","CN201230581238.X","20150107"
"322","CN201230581284.X","20150107"
"323","CN201230581297.7","20150107"
"324","CN201230581239.4","20150107"
"325","CN201230582249.X","20150107"
"326","CN201330519152.9","20151223"
"327","CN201330519390.X","20151223"
"328","CN201330519402.9","20151223"
"329","CN201330518914.3","20151223"
"330","CN201330518948.2","20151223"
"331","CN201330518964.1","20151223"
"332","CN201330578899.1","20160120"
"333","CN201330578995.6","20160120"
"334","CN201330573454.4","20160120"
"335","CN201330576032.2","20160120"
"336","CN201330576063.8","20160120"
"337","CN201330576121.7","20160120"
"338","CN201330588393.9","20160120"
"339","CN201330584782.4","20160120"
"340","CN201330580562.4","20160113"
"341","CN201330576074.6","20160120"
"342","CN201330572924.5","20160120"
"343","CN201330600828.7","20160120"
"344","CN201330600829.1","20160120"
"345","CN201330598028.6","20160120"
"346","CN201330598035.6","20160120"
"347","CN201330600789.0","20160120"
"348","CN201330600901.0","20160120"
"349","CN201330600942.X","20160120"
"350","CN201330601193.2","20160120"
"351","CN201330601230.X","20160120"
"352","CN201330577807.8","20160120"
"353","CN201330576243.6","20160120"
"354","CN201330578521.1","20160113"
"355","CN201330600367.3","20160120"
"356","CN201330600410.6","20160120"
"357","CN201330600572.X","20160120"
"358","CN201330600377.7","20160120"
"359","CN201330600398.9","20160120"
"360","CN201330600411.0","20160120"
"361","CN201330600422.9","20160120"
"362","CN201330584912.4","20160120"
"363","CN201330598076.5","20160120"
"364","CN201330598074.6","20160120"
"365","CN201330598070.8","20160120"
"366","CN201330548630.9","20160106"
"367","CN201330548631.3","20160106"
"368","CN201330556203.5","20160113"
"369","CN201330556118.9","20160113"
"370","CN201330513330.7","20151223"
"371","CN201330513344.9","20151223"
"372","CN201330513345.3","20151223"
"373","CN201330513348.7","20151223"
"374","CN201330518637.6","20151223"
"375","CN201330574286.0","20160120"
"376","CN201330574500.2","20160120"
"377","CN201330574515.9","20160120"
"378","CN201330574522.9","20160120"
"379","CN201330575206.3","20160120"
"380","CN201330572050.3","20160120"
"381","CN201330550210.4","20160106"
"382","CN201330550329.1","20160106"
"383","CN201330551291.X","20160106"
"384","CN201330545956.6","20160106"
"385","CN201330549266.8","20160106"
"386","CN201330549657.X","20160106"
"387","CN201330573636.1","20160120"
"388","CN201330584942.5","20160120"
"389","CN201330588975.7","20160120"
"390","CN201330593870.0","20160120"
"391","CN201330582694.0","20160120"
"392","CN201330582779.9","20160120"
"393","CN201330583051.8","20160120"
"394","CN201330583166.7","20160120"
"395","CN201330577638.8","20160120"
"396","CN201330579001.2","20160113"
"397","CN201330579002.7","20160113"
"398","CN201330583058.X","20160120"
"399","CN201330583104.6","20160120"
"400","CN201330577276.2","20160120"
"401","CN201330577596.8","20160120"
"402","CN201330577729.1","20160120"
"403","CN201330598578.8","20160120"
"404","CN201330598580.5","20160120"
"405","CN201330598581.X","20160120"
"406","CN201330598582.4","20160120"
"407","CN201330598510.X","20160120"
"408","CN201330577990.1","20160120"
"409","CN201330586976.8","20160120"
"410","CN201330587005.5","20160120"
"411","CN201330587037.5","20160120"
"412","CN201330587292.X","20160120"
"413","CN201330587362.1","20160120"
"414","CN201330584403.1","20160120"
"415","CN201330584669.6","20160120"
"416","CN201330584733.0","20160120"
"417","CN201330580619.0","20160113"
"418","CN201330588274.3","20160120"
"419","CN201330588286.6","20160120"
"420","CN201330584721.8","20160120"
"421","CN201330595319.X","20160120"
"422","CN201330595648.4","20160120"
"423","CN201330593153.8","20160120"
"424","CN201330593243.7","20160120"
"425","CN201330587135.9","20160120"
"426","CN201330581134.3","20160113"
"427","CN201330580724.4","20160113"
"428","CN201330588649.6","20160120"
"429","CN201230044471.4","20150422"
"430","CN201230044473.3","20150422"
"431","CN201230044474.8","20140416"
"432","CN201230094302.1","20140604"
"433","CN201230111773.9","20140604"
"434","CN201230093044.5","20140521"
"435","CN201230093370.6","20150520"
"436","CN201230093482.1","20140521"
"437","CN201230093484.0","20140521"
"438","CN201230093642.2","20140521"
"439","CN201230093676.1","20140521"
"440","CN201230130882.5","20150610"
"441","CN201230093012.5","20140521"
"442","CN201230093015.9","20140521"
"443","CN201230093232.8","20140521"
"444","CN201230093365.5","20150520"
"445","CN201230093377.8","20140521"
"446","CN201230093397.5","20140521"
"447","CN201230093398.X","20140521"
"448","CN201230093448.4","20150520"
"449","CN201230093621.0","20140521"
"450","CN201230106606.5","20150527"
"451","CN201230106610.1","20140604"
"452","CN201230106620.5","20140604"
"453","CN201230106623.9","20140604"
"454","CN201230094683.3","20140604"
"455","CN201230094693.7","20140604"
"456","CN201030136238.X","20140604"
"457","CN201030136241.1","20140604"
"458","CN201030136248.3","20140604"
"459","CN201030136255.3","20140604"
"460","CN201030136258.7","20140604"
"461","CN201030204360.6","20140730"
"462","CN201030204361.0","20140730"
"463","CN201030204363.X","20140730"
"464","CN201030204364.4","20140730"
"465","CN201030204365.9","20140730"
"466","CN201030204366.3","20140730"
"467","CN201030204367.8","20140730"
"468","CN201030204368.2","20140730"
"469","CN201030204369.7","20140730"
"470","CN201030204370.X","20140730"
"471","CN201030204371.4","20140730"
"472","CN201030210163.5","20140813"
"473","CN201030210164.X","20140813"
"474","CN201030210132.X","20140813"
"475","CN201030210133.4","20140813"
"476","CN201030210136.8","20140813"
"477","CN201030210138.7","20140813"
"478","CN201030210139.1","20140813"
"479","CN201030221804.7","20140820"
"480","CN201030199627.7","20140730"
"481","CN201030152775.3","20150617"
"482","CN201030177248.8","20140716"
"483","CN201030177250.5","20150708"
"484","CN201030540799.6","20131120"
"485","CN201030540809.6","20141119"
"486","CN201030541286.7","20131204"
"487","CN201030541287.1","20141203"
"488","CN201030541290.3","20141203"
"489","CN201030541292.2","20141203"
"490","CN201030541293.7","20131204"
"491","CN201030541294.1","20141203"
"492","CN201030541295.6","20141203"
"493","CN201030541296.0","20141203"
"494","CN201030541297.5","20141203"
"495","CN201030661665.X","20140205"
"496","CN201030661681.9","20140205"
"497","CN201030661682.3","20150121"
"498","CN201030661684.2","20140205"
"499","CN201030661687.6","20140205"
"500","CN201030661698.4","20140205"
"501","CN201030686914.0","20160210"
"502","CN201030686818.6","20140219"
"503","CN201030686819.0","20150204"
"504","CN201030686820.3","20140219"
"505","CN201030686832.6","20140219"
"506","CN201030686836.4","20140219"
"507","CN201030686838.3","20140219"
"508","CN201030686840.0","20150204"
"509","CN201030700215.7","20140226"
"510","CN201030679668.6","20140212"
"511","CN201030679670.3","20140212"
"512","CN201030679676.0","20140212"
"513","CN201030679677.5","20150204"
"514","CN201030679678.X","20140212"
"515","CN201030679680.7","20140212"
"516","CN201030679808.X","20140212"
"517","CN201030681574.2","20140212"
"518","CN201030681586.5","20140212"
"519","CN201030681587.X","20140212"
"520","CN201030681588.4","20140212"
"521","CN201030681589.9","20140212"
"522","CN201030681591.6","20160210"
"523","CN201030681593.5","20140212"
"524","CN201030681595.4","20140212"
"525","CN201030681596.9","20150204"
"526","CN201030681605.4","20140212"
"527","CN201030681636.X","20140212"
"528","CN201030681637.4","20140212"
"529","CN201030681639.3","20140212"
"530","CN201030681640.6","20140212"
"531","CN201030681641.0","20140212"
"532","CN201030681642.5","20140212"
"533","CN201030681644.4","20140212"
"534","CN201030681645.9","20140212"
"535","CN201030681646.3","20140212"
"536","CN201030681792.6","20140212"
"537","CN201030683106.9","20140212"
"538","CN201030683107.3","20140212"
"539","CN201030683110.5","20140212"
"540","CN201030683111.X","20140212"
"541","CN201030683112.4","20140212"
"542","CN201030683113.9","20140212"
"543","CN201030683116.2","20140212"
"544","CN201030683118.1","20140212"
"545","CN201030263362.2","20130925"
"546","CN201030263365.6","20130925"
"547","CN201030256342.2","20130925"
"548","CN201030256344.1","20130925"
"549","CN201030256347.5","20141008"
"550","CN201030256348.X","20141008"
"551","CN201030256349.4","20130925"
"552","CN201030256352.6","20141008"
"553","CN201030256353.0","20130925"
"554","CN201030256356.4","20130925"
"555","CN201030256357.9","20141008"
"556","CN201030256359.8","20141008"
"557","CN201030256366.8","20141008"
"558","CN201030256367.2","20130925"
"559","CN201030256368.7","20141008"
"560","CN201030256370.4","20130925"
"561","CN201030256371.9","20130925"
"562","CN201030256373.8","20130925"
"563","CN201030256374.2","20141008"
"564","CN201030256375.7","20130925"
"565","CN201030270563.5","20131002"
"566","CN201030559313.3","20141210"
"567","CN201030559332.6","20141210"
"568","CN201030559333.0","20131211"
"569","CN201030559335.X","20141210"
"570","CN201030559337.9","20131211"
"571","CN201030560064.X","20131211"
"572","CN201030560065.4","20131211"
"573","CN201030560116.3","20141210"
"574","CN201030560117.8","20131211"
"575","CN201030559769.X","20131211"
"576","CN201030670528.2","20150204"
"577","CN201030670529.7","20140205"
"578","CN201030670537.1","20140205"
"579","CN201030672553.4","20140205"
"580","CN201030671004.5","20140205"
"581","CN201030671005.X","20150204"
"582","CN201030671010.0","20150204"
"583","CN201030671011.5","20140205"
"584","CN201030671013.4","20140205"
"585","CN201030671014.9","20140205"
"586","CN201030671022.3","20140205"
"587","CN201030670538.6","20140205"
"588","CN201030670540.3","20140205"
"589","CN201030670541.8","20150204"
"590","CN201030670543.7","20150204"
"591","CN201030670545.6","20140205"
"592","CN201030671046.9","20150204"
"593","CN201030671050.5","20150121"
"594","CN201030671057.7","20140205"
"595","CN201030671058.1","20140205"
"596","CN201030671060.9","20140205"
"597","CN201030673133.8","20140212"
"598","CN201030673140.8","20140212"
"599","CN201030673141.2","20140212"
"600","CN201030673142.7","20150204"
"601","CN201030674698.8","20140212"
"602","CN201030674700.1","20150204"
"603","CN201030674701.6","20140212"
"604","CN201030674704.X","20150204"
"605","CN201030674707.3","20140212"
"606","CN201030671797.0","20140205"
"607","CN201030671799.X","20150204"
"608","CN201030671802.8","20140205"
"609","CN201030671826.3","20150204"
"610","CN201030671534.X","20140205"
"611","CN201030671536.9","20140205"
"612","CN201030671539.2","20150204"
"613","CN201030671540.5","20150204"
"614","CN201030671542.4","20150204"
"615","CN201030671548.1","20150204"
"616","CN201030673127.2","20140212"
"617","CN201030673128.7","20150204"
"618","CN201030673129.1","20160203"
"619","CN201030673130.4","20150204"
"620","CN201030673131.9","20140212"
"621","CN201030673132.3","20150204"
"622","CN201030673134.2","20150204"
"623","CN201030673136.1","20150204"
"624","CN201030673137.6","20140212"
"625","CN201030674685.0","20150204"
"626","CN201030674691.6","20150204"
"627","CN201030674697.3","20140212"
"628","CN201030671814.0","20140205"
"629","CN201030671815.5","20140205"
"630","CN201030671823.X","20140205"
"631","CN201030671512.3","20140205"
"632","CN201030671514.2","20150204"
"633","CN201030671523.1","20140205"
"634","CN201030671524.6","20140205"
"635","CN201030671525.0","20140205"
"636","CN201030671498.7","20140205"
"637","CN201030671499.1","20140205"
"638","CN201030671503.4","20140205"
"639","CN201030671506.8","20140205"
"640","CN201030671507.2","20140205"
"641","CN201030671508.7","20140205"
"642","CN201030671515.7","20150204"
"643","CN201030671526.5","20150204"
"644","CN201030671528.4","20150204"
"645","CN201030677540.6","20140212"
"646","CN201030677541.0","20140212"
"647","CN201030677543.X","20140212"
"648","CN201030677544.4","20140212"
"649","CN201030677546.3","20150204"
"650","CN201030677547.8","20140212"
"651","CN201030677553.3","20140212"
"652","CN201030677555.2","20140212"
"653","CN201030677556.7","20140212"
"654","CN201030677568.X","20140212"
"655","CN201030675789.3","20140212"
"656","CN201030675790.6","20140212"
"657","CN201030675798.2","20150204"
"658","CN201030676610.6","20140212"
"659","CN201030676636.0","20150204"
"660","CN201030676639.4","20150204"
"661","CN201030676640.7","20150204"
"662","CN201030676641.1","20140212"
"663","CN201030676645.X","20140212"
"664","CN201030676647.9","20140212"
"665","CN201030676649.8","20150204"
"666","CN201030676651.5","20140212"
"667","CN201030676652.X","20150204"
"668","CN201030673511.2","20140212"
"669","CN201030673513.1","20150204"
"670","CN201030673516.5","20140212"
"671","CN201030673518.4","20140212"
"672","CN201030673519.9","20140212"
"673","CN201030673521.6","20140212"
"674","CN201030673522.0","20150204"
"675","CN201030673523.5","20150204"
"676","CN201030673524.X","20150204"
"677","CN201030673749.5","20140212"
"678","CN201030673769.2","20140212"
"679","CN201030673772.4","20140212"
"680","CN201030662183.6","20140205"
"681","CN201030662184.0","20140205"
"682","CN201030662185.5","20160120"
"683","CN201030662186.X","20140205"
"684","CN201030662188.9","20140205"
"685","CN201030662189.3","20150121"
"686","CN201030662190.6","20140205"
"687","CN201030662191.0","20140205"
"688","CN201030662192.5","20140205"
"689","CN201030662193.X","20140205"
"690","CN201030662194.4","20140205"
"691","CN201030662196.3","20140205"
"692","CN201030662197.8","20140205"
"693","CN201030662199.7","20140205"
"694","CN201030662200.6","20140205"
"695","CN201030662201.0","20140205"
"696","CN201030662203.X","20140205"
"697","CN201030670088.0","20140205"
"698","CN201030670091.2","20150204"
"699","CN201030281772.X","20151021"
"700","CN201030281773.4","20131016"
"701","CN201030281775.3","20131016"
"702","CN201030281781.9","20141022"
"703","CN201030281783.8","20141022"
"704","CN201030281784.2","20131016"
"705","CN201030281785.7","20141022"
"706","CN201030281786.1","20131016"
"707","CN201030281771.5","20131016"
"708","CN201030563232.0","20141210"
"709","CN201030563233.5","20131211"
"710","CN201030563234.X","20141210"
"711","CN201030563235.4","20141210"
"712","CN201030563351.6","20141210"
"713","CN201030563353.5","20141210"
"714","CN201130255591.4","20130925"
"715","CN201130265946.8","20131002"
"716","CN201130294146.9","20131030"
"717","CN201130294211.8","20131030"
"718","CN201130290093.3","20141022"
"719","CN201130265901.0","20131002"
"720","CN201130265902.5","20131002"
"721","CN201130265905.9","20131002"
"722","CN201130265906.3","20131002"
"723","CN201130042849.2","20150506"
"724","CN201130042851.X","20150506"
"725","CN201130045347.5","20150506"
"726","CN201130045354.5","20140507"
"727","CN201130043919.6","20140507"
"728","CN201130043908.8","20140507"
"729","CN201130038186.7","20140507"
"730","CN201130458918.8","20140205"
"731","CN201130458937.0","20140205"
"732","CN201130458927.7","20140205"
"733","CN201130458933.2","20140205"
"734","CN201230092966.4","20160525"
"735","CN201230093016.3","20160525"
"736","CN201230093371.0","20160525"
"737","CN201230093622.5","20160525"
"738","CN201230093625.9","20160525"
"739","CN201230093673.8","20160525"
"740","CN201230093374.4","20160525"
"741","CN201230106609.9","20160601"
"742","CN201230106624.3","20160601"
"743","CN201230093670.4","20160601"
"744","CN201430135574.0","20160629"
"745","CN201430135576.X","20160629"
"746","CN201430135781.6","20160629"
"747","CN201430134899.7","20160629"
"748","CN201430134900.6","20160629"
"749","CN201230360313.X","20160928"
"750","CN201030281774.9","20161012"
"751","CN201130361581.9","20161130"
"752","CN201030540800.5","20161116"
"753","CN201030540808.1","20161116"
"754","CN201030540829.3","20161116"
"755","CN201030538365.2","20161116"
"756","CN201030532260.6","20161116"
"757","CN201330476400.6","20161123"
"758","CN201030541285.2","20161123"
"759","CN201430389035.X","20161130"
"760","CN201430388983.1","20161130"
"761","CN201430389014.8","20161130"
"762","CN201430389015.2","20161130"
"763","CN201430388954.5","20161130"
"764","CN201430388887.7","20161130"
"765","CN201430388899.X","20161130"
"766","CN201220093113.7","20131106"
"767","CN201220051172.8","20131009"
"768","CN201020614949.8","20130227"
"769","CN201120006814.8","20130619"
"770","CN201120057019.1","20130227"
"771","CN201120066548.8","20130814"
"772","CN201120217637.8","20130306"
"773","CN201120350904.9","20130814"
"774","CN201120397819.8","20130522"
"775","CN201220682091.8","20141210"
"776","CN201320030763.1","20151014"
"777","CN201320104569.3","20151104"
"778","CN201220679442.X","20150204"
"779","CN201220603925.1","20141231"
"780","CN201320105728.1","20150422"
"781","CN201320105726.2","20150422"
"782","CN201320372416.7","20150812"
"783","CN201320087586.0","20160406"
"784","CN201220504232.7","20141126"
"785","CN201220613215.7","20150107"
"786","CN201320085101.4","20150408"
"787","CN201220081318.3","20160427"
"788","CN201220557411.7","20160406"
"789","CN201020260315.7","20140903"
"790","CN201020233149.1","20140813"
"791","CN201020247017.4","20140820"
"792","CN201020199068.4","20140709"
"793","CN201020647319.0","20150121"
"794","CN201020650850.3","20150204"
"795","CN201020636378.8","20150114"
"796","CN201020650846.7","20150204"
"797","CN201020179953.6","20150617"
"798","CN201020190359.7","20140702"
"799","CN201020614947.9","20140108"
"800","CN201120042839.3","20140402"
"801","CN201120029931.6","20150325"
"802","CN201120078732.4","20150513"
"803","CN201120045937.2","20140409"
"804","CN201220206387.2","20150624"
"805","CN201220482679.9","20141112"
"806","CN201220355214.7","20140910"
"807","CN201220355236.3","20140910"
"808","CN201220425309.1","20141022"
"809","CN201120162176.9","20150708"
"810","CN201120009872.6","20150311"
"811","CN201120236510.0","20140827"
"812","CN201120236466.3","20150819"
"813","CN201120493382.8","20150114"
"814","CN201120324431.5","20131030"
"815","CN201120324434.9","20151028"
"816","CN201220564326.3","20151223"
"817","CN201220565279.4","20141217"
"818","CN201220613575.7","20150107"
"819","CN201220644968.4","20150114"
"820","CN201120156324.6","20150708"
"821","CN201120217650.3","20150812"
"822","CN201220201177.4","20160622"
